learning_rate,batch_size,rmse,second
0.0001,5,0.9576614796001979,2.3076231
0.0001,15,0.962263479525395,2.3221977
0.0001,25,0.9645316665576831,2.2801032
0.0001,35,0.968331615793365,2.3075402
0.0001,45,0.9658043284390498,2.2688644
0.0001,55,0.9666815794967367,2.313075
0.0001,65,0.9645969832067673,2.3075895
0.0001,75,0.9632397496549063,2.27769
0.0001,85,0.964471011422763,2.2579236
0.0001,95,0.9635584683714671,2.3542767
0.0001,105,0.9700492944186612,2.2352464
0.0001,115,0.9618363247359254,2.2451642
0.0001,125,0.9697139620082349,2.292854
0.0001,135,0.9700241631025054,2.2118347
0.0001,145,0.9601122406075834,2.32743
0.0001,155,0.9658324083702874,2.28486
0.0001,165,0.9650733767170078,2.2707841
0.0001,175,0.9642135167972802,2.2973995
0.0001,185,0.9640461640542765,2.268292
0.0001,195,0.9639177705271403,2.2757835
0.0051,5,0.9642545314066177,2.3221982
0.0051,15,0.9610423209232728,2.2522151
0.0051,25,0.9613462679692079,2.382793
0.0051,35,0.9658026929893242,2.3346784
0.0051,45,0.9647286844560361,2.3549385
0.0051,55,0.9622984142497726,2.3145492
0.0051,65,0.9608882178098043,2.32986
0.0051,75,0.9654439071172995,2.272849
0.0051,85,0.9649883270051799,2.275821
0.0051,95,0.9580043283257234,2.283967
0.0051,105,0.9634697277260489,2.3138084
0.0051,115,0.9723192420113198,2.2506661
0.0051,125,0.9615896229704518,2.2957478
0.0051,135,0.9607338728353964,2.2949939
0.0051,145,0.9667269594748121,2.245874
0.0051,155,0.9605814266312218,2.3102527
0.0051,165,0.9707392910335457,2.2555358
0.0051,175,0.9659067391045647,2.2632504
0.0051,185,0.9637048462854638,2.3252509
0.0051,195,0.9617148875725268,2.3748472
0.0101,5,0.9620813214652887,2.1896381
0.0101,15,0.9640646194113213,2.215426
0.0101,25,0.9632026213323529,2.240958
0.0101,35,0.9629551244957382,2.227195
0.0101,45,0.9602772064625378,2.3344274
0.0101,55,0.96350183490525,2.2144265
0.0101,65,0.964752285595055,2.3292253
0.0101,75,0.9675137414868175,2.2632446
0.0101,85,0.9633876299378527,2.2352593
0.0101,95,0.9614212245261652,2.3192813
0.0101,105,0.9622973922412704,2.2691212
0.0101,115,0.9700025951213139,2.2615376
0.0101,125,0.9660908596853782,2.2506003
0.0101,135,0.9618511353643635,2.3436713
0.0101,145,0.9627049946157819,2.2930849
0.0101,155,0.9627225779508888,2.3099327
0.0101,165,0.9683790419575322,2.2385373
0.0101,175,0.967085577504585,2.2976358
